City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,santa marta de ortigueira,43.6833,-7.85,17.36,82,98,3.83,ES,1685228809
278,dhrangadhra,22.9833,71.4667,27.89,77,46,6.49,IN,1685228809
279,berezovo,63.9381,65.0419,17.38,77,99,4.47,RU,1685228809
280,kutahya,39.4242,29.9833,11.95,93,96,1.97,TR,1685228809
281,nema,57.5067,50.5011,16.16,98,99,2.49,RU,1685228810
282,okondja,-0.6549,13.6753,23.32,95,100,1.07,GA,1685228810
283,gulf shores,30.246,-87.7008,29.63,59,0,1.79,US,1685228810
284,taguatinga,-12.3857,-46.5711,26.75,42,75,1.81,BR,1685228810
285,bujaru,-1.515,-48.0447,23.49,99,99,1.13,BR,1685228695
286,gelemso,8.8167,40.5167,15.71,90,85,3.97,ET,1685228810
287,semnan,35.5729,53.3971,22.35,38,1,3.3,IR,1685228811
288,az zuwaytinah,30.9522,20.1202,19.54,79,1,5.49,LY,1685228811
289,ancud,-41.8697,-73.8203,5.34,81,64,2.62,CL,1685228811
290,fort bragg,35.139,-79.006,16.22,96,100,6.69,US,1685228811
291,crane,31.3974,-102.3501,27.15,48,89,10.1,US,1685228811
292,chokwe,-24.5333,32.9833,18.54,93,100,1.46,MZ,1685228812
293,richards bay,-28.783,32.0377,19.71,82,16,4.79,ZA,1685228812
294,del rio,29.3627,-100.8968,31.01,50,100,3.58,US,1685228599
295,mahroni,24.5862,78.7288,28.37,47,0,2.09,IN,1685228812
296,cubuk,40.2386,33.0322,15.7,67,75,2.06,TR,1685228812
297,grand falls-windsor,48.9332,-55.6649,5.03,92,100,5.6,CA,1685228812
298,levuka,50.1834,-105.4011,18.98,77,100,2.93,CA,1685228813
299,ozerne,50.1782,28.7338,10.59,79,7,4.64,UA,1685228813
300,takehara,34.3383,132.9167,18.98,86,100,1.08,JP,1685228813
301,prince rupert,54.3161,-130.3201,11.05,68,75,3.6,CA,1685228731
302,fiche,9.8,38.7333,12.57,72,75,1.18,ET,1685228813
303,tonj,7.2737,28.6822,26.24,62,80,1.83,SS,1685228813
304,sao joao da barra,-21.6403,-41.0511,21.05,86,21,3.71,BR,1685228813
305,uturoa,-16.7333,-151.4333,27.74,70,37,9.52,PF,1685228814
306,wellington,-41.2866,174.7756,16.7,78,40,4.12,NZ,1685228658
307,spring creek,40.7266,-115.5859,20.49,31,82,3.66,US,1685228639
308,walvis bay,-22.9575,14.5053,13.38,86,4,1.42,NA,1685228814
309,makoua,0.0069,15.6333,23.73,96,100,1.25,CG,1685228814
310,angaur state,6.906,134.13,28.81,79,100,10.39,PW,1685228814
311,yorkton,51.2167,-102.4677,18.91,72,75,5.14,CA,1685228695
312,bhadarwah,32.9833,75.7167,11.07,82,2,1.12,IN,1685228814
313,qusmuryn,52.4503,64.6311,16.44,47,45,0.32,KZ,1685228815
314,kalabo,-14.97,22.6814,15.52,35,0,1.58,ZM,1685228815
315,vorgashor,67.5833,63.95,9.66,89,100,2.56,RU,1685228815
316,khandyga,62.6667,135.6,10.82,65,31,1.36,RU,1685228815
317,santa lucia,27.9117,-15.5407,15.98,68,20,1.54,ES,1685228815
318,santa elena de uairen,4.6167,-61.1333,21.0,91,71,1.4,VE,1685228815
319,port isabel,26.0734,-97.2086,30.02,66,0,6.17,US,1685228640
320,mossel bay,-34.1831,22.146,14.49,56,0,2.07,ZA,1685228816
321,grand baie,-20.0182,57.5802,22.47,82,30,0.89,MU,1685228816
322,tam ky,15.5667,108.4833,25.45,88,33,1.26,VN,1685228816
323,dzerzhinsk,56.2389,43.4631,15.9,100,40,2.0,RU,1685228816
324,menongue,-14.6585,17.691,18.29,48,84,0.9,AO,1685228816
325,tura,25.5198,90.2201,20.75,84,1,1.11,IN,1685228622
326,hadibu,12.65,54.0333,29.61,72,34,4.15,YE,1685228816
327,berdigestyakh,62.0989,126.6992,8.19,47,19,3.1,RU,1685228816
328,awjilah,29.1081,21.2869,19.13,68,42,7.28,LY,1685228817
329,cockburn town,21.4612,-71.1419,27.73,86,41,5.81,TC,1685228817
330,as sulayyil,20.4607,45.5779,29.14,30,95,1.69,SA,1685228817
331,iskushuban,10.2837,50.23,28.56,62,81,4.6,SO,1685228817
332,ariquemes,-9.9133,-63.0408,25.37,81,92,1.02,BR,1685228817
333,fort st. john,56.2499,-120.8529,22.94,25,20,8.23,CA,1685228535
334,masterton,-40.9597,175.6575,17.71,66,67,1.1,NZ,1685228817
335,guajara,-2.9667,-57.6667,27.07,75,99,1.26,BR,1685228818
336,saynshand,44.8824,110.1163,13.56,40,15,6.1,MN,1685228818
337,hilo,19.7297,-155.09,28.49,69,40,4.12,US,1685228675
338,luganville,-15.5333,167.1667,26.5,62,2,0.82,VU,1685228818
339,brive-la-gaillarde,45.25,1.5,17.93,25,44,1.38,FR,1685228818
340,udachny,66.4167,112.4,9.11,76,94,3.65,RU,1685228818
341,mili,6.0815,171.735,28.08,78,95,6.38,MH,1685228818
342,zwonitz,50.6333,12.8,9.34,88,0,1.87,DE,1685228818
343,novyy turtkul',41.55,61.0167,18.95,19,83,5.38,UZ,1685228819
344,manta,-0.95,-80.7333,27.88,74,20,5.14,EC,1685228697
345,tidjikja,18.5564,-11.4271,29.86,37,95,7.24,MR,1685228548
346,new kingman-butler,35.265,-114.0323,29.87,7,0,4.63,US,1685228819
347,nar'yan-mar,67.6713,53.087,7.35,73,87,2.86,RU,1685228819
348,obera,-27.4871,-55.1199,18.99,98,100,2.56,AR,1685228819
349,oodweyne,9.4092,45.064,22.9,69,91,4.41,SO,1685228819
350,nova sintra,14.8667,-24.7167,21.19,84,52,6.54,CV,1685228820
351,kirovskiy,45.0917,133.5136,15.41,90,100,3.64,RU,1685228820
352,constantia,44.1833,28.65,16.5,92,24,3.4,RO,1685228820
353,puerto quijarro,-17.7833,-57.7667,27.58,51,50,1.32,BO,1685228820
354,porto novo,6.4965,2.6036,26.8,84,100,2.41,BJ,1685228820
355,pangody,65.85,74.4859,13.64,74,36,6.91,RU,1685228820
356,port douglas,-16.4833,145.4667,22.44,71,58,3.06,AU,1685228811
357,howard springs,-12.497,131.047,19.9,40,33,4.49,AU,1685228820
358,chifeng,42.2683,118.9636,18.76,59,95,3.14,CN,1685228821
359,el granada,37.5027,-122.4694,24.96,74,75,8.75,US,1685228821
360,flin flon,54.7682,-101.865,20.64,42,75,3.37,CA,1685228821
